payload,users,errorPercentage,throughput
500,100,"","2.55"
500,200,"","5.05"
500,500,"","12.54"
500,1000,"","25.01"
1024,100,"","2.55"
1024,200,"","5.05"
1024,500,"","12.54"
1024,1000,"",25
5120,100,"","2.55"
5120,200,"","5.05"
5120,500,"","12.54"
5120,1000,"","25.01"
10240,100,"","2.55"
10240,200,"","5.05"
10240,500,"","12.54"
10240,1000,"",25
102400,100,"","2.55"
102400,200,"","5.04"
102400,500,"","12.51"
102400,1000,"","24.99"
512000,100,"","2.53"
512000,200,"","5.02"
512000,500,"","12.26"
512000,1000,100,"4.24"
